"Month","CommitsPerMonth"
"08-2006","81"
"09-2006","103"
"10-2006","79"
"11-2006","75"
"12-2006","48"
"01-2007","71"
"02-2007","59"
"03-2007","34"
"04-2007","84"
"05-2007","31"
"06-2007","49"
"07-2007","60"
"08-2007","101"
"09-2007","33"
"10-2007","63"
"11-2007","42"
"12-2007","21"
"01-2008","44"
"02-2008","65"
"03-2008","32"
"04-2008","29"
"05-2008","48"
"06-2008","50"
"07-2008","57"
"08-2008","66"
"09-2008","29"
"10-2008","31"
"11-2008","23"
"12-2008","57"
"01-2009","61"
"02-2009","81"
"03-2009","87"
"04-2009","84"
"05-2009","129"
"06-2009","94"
"07-2009","112"
"08-2009","121"
"09-2009","148"
"10-2009","111"
"11-2009","74"
"12-2009","65"
"01-2010","98"
"02-2010","94"
"03-2010","200"
"04-2010","75"
"05-2010","88"
"06-2010","96"
"07-2010","78"
"08-2010","95"
"09-2010","41"
"10-2010","195"
"11-2010","69"
"12-2010","19"
"01-2011","25"
"02-2011","29"
"03-2011","30"
"04-2011","29"
"05-2011","17"
"06-2011","29"
"07-2011","16"
"08-2011","31"
"09-2011","9"
"10-2011","18"
"11-2011","21"
"12-2011","33"
"01-2012","37"
"02-2012","42"
"03-2012","29"
"04-2012","19"
"05-2012","23"
"06-2012","17"
"07-2012","21"
"08-2012","10"
"09-2012","12"
"10-2012","15"
"11-2012","14"
"12-2012","9"
"01-2013","12"
"02-2013","18"
"03-2013","20"
"04-2013","14"
"05-2013","6"
"06-2013","5"
"07-2013","17"
"08-2013","11"
"09-2013","2"
"10-2013","23"
"11-2013","2"
"12-2013","4"
"01-2014","1"
"02-2014","10"
"03-2014","5"
"04-2014","7"
"05-2014","3"
"06-2014","5"
"07-2014","2"
"08-2014","0"
"09-2014","3"
"10-2014","7"
"11-2014","3"
"12-2014","1"
"01-2015","9"
"02-2015","1"
"03-2015","3"
"04-2015","25"
"05-2015","7"
"06-2015","19"
"07-2015","6"
"08-2015","0"
"09-2015","3"
"10-2015","2"
"11-2015","5"
"12-2015","3"
"01-2016","2"
"02-2016","11"
"03-2016","13"
"04-2016","1"
"05-2016","6"
"06-2016","1"
"07-2016","0"
"08-2016","18"
"09-2016","19"
"10-2016","6"
"11-2016","5"
"12-2016","1"
"01-2017","0"
"02-2017","1"
"03-2017","1"
"04-2017","0"
"05-2017","1"
"06-2017","2"
"07-2017","2"
"08-2017","0"
"09-2017","1"
"10-2017","1"
"11-2017","0"
"12-2017","0"
"01-2018","1"
"02-2018","0"
"03-2018","2"
"04-2018","1"
"05-2018","3"
"06-2018","11"
"07-2018","2"
"08-2018","4"
"09-2018","4"
"10-2018","16"
"11-2018","16"
"12-2018","6"
"01-2019","30"
"02-2019","23"
"03-2019","9"
"04-2019","11"
"05-2019","3"
"06-2019","4"
"07-2019","1"
"08-2019","0"
"09-2019","0"
"10-2019","0"
"11-2019","1"
"12-2019","1"
"01-2020","2"
"02-2020","6"
"03-2020","8"
"04-2020","6"
"05-2020","3"
"06-2020","3"
"07-2020","24"
