"Month","FixedBugs"
"10-2011","17"
"11-2011","13"
"12-2011","8"
"01-2012","27"
"02-2012","18"
"03-2012","11"
"04-2012","20"
"05-2012","17"
"06-2012","11"
"07-2012","18"
"08-2012","2"
"09-2012","6"
"10-2012","21"
"11-2012","7"
"12-2012","20"
"01-2013","27"
"02-2013","30"
"03-2013","45"
"04-2013","40"
"05-2013","34"
"06-2013","6"
"07-2013","13"
"08-2013","7"
"09-2013","20"
"10-2013","32"
"11-2013","40"
"12-2013","47"
"01-2014","84"
"02-2014","42"
"03-2014","31"
"04-2014","40"
"05-2014","13"
"06-2014","40"
"07-2014","20"
"08-2014","27"
"09-2014","41"
"10-2014","21"
"11-2014","26"
"12-2014","31"
"01-2015","30"
"02-2015","28"
"03-2015","28"
"04-2015","25"
"05-2015","57"
"06-2015","34"
"07-2015","11"
"08-2015","11"
"09-2015","7"
"10-2015","16"
"11-2015","3"
"12-2015","9"
"01-2016","9"
"02-2016","13"
"03-2016","4"
"04-2016","3"
"05-2016","4"
"06-2016","13"
"07-2016","11"
"08-2016","13"
"09-2016","15"
"10-2016","5"
"11-2016","2"
"12-2016","2"
"01-2017","6"
"02-2017","4"
"03-2017","6"
"04-2017","1"
"05-2017","2"
"06-2017","8"
"07-2017","4"
"08-2017","1"
"09-2017","5"
"10-2017","5"
"11-2017","2"
"12-2017","11"
"01-2018","11"
"02-2018","9"
"03-2018","5"
"04-2018","2"
