"Month","CommitsPerMonth"
"10-2011","15"
"11-2011","43"
"12-2011","9"
"01-2012","5"
"02-2012","20"
"03-2012","25"
"04-2012","16"
"05-2012","31"
"06-2012","18"
"07-2012","17"
"08-2012","27"
"09-2012","21"
"10-2012","25"
"11-2012","21"
"12-2012","55"
"01-2013","26"
"02-2013","11"
"03-2013","10"
"04-2013","6"
"05-2013","6"
"06-2013","11"
"07-2013","14"
"08-2013","7"
"09-2013","3"
"10-2013","19"
"11-2013","2"
"12-2013","4"
"01-2014","11"
"02-2014","11"
"03-2014","6"
"04-2014","3"
"05-2014","11"
"06-2014","5"
"07-2014","4"
"08-2014","6"
"09-2014","16"
"10-2014","5"
"11-2014","1"
"12-2014","16"
"01-2015","4"
"02-2015","1"
"03-2015","8"
"04-2015","8"
"05-2015","4"
"06-2015","1"
"07-2015","4"
"08-2015","1"
"09-2015","2"
"10-2015","7"
"11-2015","0"
"12-2015","0"
"01-2016","3"
"02-2016","10"
"03-2016","10"
"04-2016","17"
"05-2016","8"
"06-2016","3"
"07-2016","15"
"08-2016","11"
"09-2016","5"
"10-2016","6"
